date,time,location_X,location_Y,lat,lon,mag,place,type
2022-09-19,19:38:40,248295.11345074285,599535.2811555376,53.374,6.789,0.8,'t Zandt,induced earthquake
2022-09-19,08:03:56,241656.3958826518,602193.5252638031,53.399,6.69,0.7,Uithuizen,induced earthquake
2022-09-18,04:10:00,240797.74139065345,601844.0908723971,53.396,6.677,0.8,Uithuizen,induced earthquake
2022-09-09,00:39:11,241924.46053799815,602087.0674130049,53.398,6.694,2.3,Uithuizen,induced earthquake
2022-08-28,03:18:59,241922.4387962282,602198.3512010922,53.399,6.694,1.3,Uithuizen,induced earthquake
2022-08-19,05:49:14,241922.4387962282,602198.3512010922,53.399,6.694,1.9,Uithuizen,induced earthquake
2022-08-09,03:50:08,250855.2059342215,584668.709162199,53.24,6.823,0.1,Schildwolde,induced earthquake
2022-07-16,09:14:40,246508.2497887673,595493.228737643,53.338,6.761,0.9,Loppersum,induced earthquake
2022-07-15,18:31:22,246358.0697559171,596380.929563421,53.346,6.759,0.3,Zeerijp,induced earthquake
2022-07-13,16:52:27,245664.6392240004,587239.6152587205,53.264,6.746,0.4,Luddeweer,induced earthquake
2022-07-04,18:19:30,245931.0580397402,597819.9792619483,53.359,6.753,1.1,Zeerijp,induced earthquake
2022-06-16,20:17:31,242921.4553451325,583960.4864163883,53.235,6.704,0.9,Harkstede,induced earthquake
2022-06-11,11:09:54,244528.88647199035,598016.2082369602,53.361,6.732,0.7,Zeerijp,induced earthquake
2022-06-10,01:42:37,241720.88653694303,598632.4609352506,53.367,6.69,0.5,Eppenhuizen,induced earthquake
2022-06-08,21:04:24,247533.08273511476,594177.0519893138,53.326,6.776,0.2,Wirdum,induced earthquake
2022-05-10,04:15:08,245929.91609417443,594369.0215636122,53.328,6.752,0.6,Loppersum,induced earthquake
2022-05-09,03:38:52,247599.70532112877,594178.3381474141,53.326,6.777,0.4,Wirdum,induced earthquake
2022-05-05,09:05:00,244586.4079490786,584213.8517488473,53.237,6.729,1.8,Lageland,induced earthquake
2022-04-17,13:44:19,243286.62848868335,596768.6355092751,53.35,6.713,0.7,Westeremden,induced earthquake
2022-04-17,13:27:46,243417.7474604403,596882.3726398058,53.351,6.715,1.6,Westeremden,induced earthquake
2022-04-17,06:33:42,237593.4884328847,586982.7542628493,53.263,6.625,0.6,Zuidwolde,induced earthquake
2022-04-13,07:19:27,244664.10754627784,597907.4170883731,53.36,6.734,0.5,Zeerijp,induced earthquake
2022-04-01,17:11:08,245848.53386673535,595146.718772898,53.335,6.751,2.7,Loppersum,induced earthquake
2022-03-30,19:18:41,242787.88882786044,598540.5814008523,53.366,6.706,0.5,Startenhuizen Lopp,induced earthquake
2022-03-06,13:18:30,244732.7626726844,597797.3822348833,53.359,6.735,2.1,Zeerijp,induced earthquake
2022-03-01,19:40:23,243378.72763514752,598996.7283933292,53.37,6.715,0.7,Garsthuizen,induced earthquake
2022-03-01,17:32:08,243243.56626705496,599105.5558784767,53.371,6.713,0.2,Startenhuizen Lopp,induced earthquake
2022-01-26,03:51:37,253875.18167598537,583950.628914,53.233,6.868,0.3,Siddeburen,induced earthquake
2022-01-24,00:27:26,245936.2472600839,594035.1821199626,53.325,6.752,0.6,Loppersum,induced earthquake
2022-01-01,23:17:27,256910.9718028438,585683.8612144206,53.248,6.914,0.5,Wagenborgen,induced earthquake
2021-12-28,19:19:04,242704.18675283573,592193.8946294952,53.309,6.703,0.2,Stedum,induced earthquake
2021-12-27,07:55:47,259987.1817848164,597662.1133793317,53.355,6.964,1,Eems-Dollard (nabij Farmsum),induced earthquake
2021-12-25,22:31:12,250921.91275280644,594688.9393538543,53.33,6.827,0.6,Oosterwijtwerd,induced earthquake
2021-12-18,02:33:25,237149.26288704155,585639.3889818137,53.251,6.618,1.3,Groningen,induced earthquake
2021-12-09,12:18:28,235345.40722744103,585720.2041025362,53.252,6.591,1.2,Groningen,induced earthquake
2021-12-05,02:38:05,262958.5373176439,589935.0431174296,53.285,7.006,0.2,Borgsweer,induced earthquake
2021-12-01,20:26:08,251642.4081909695,588692.0075280869,53.276,6.836,0.9,Steendam,induced earthquake
2021-12-01,19:16:34,235765.7945654845,588510.0500102232,53.277,6.598,1.1,Noordwolde,induced earthquake
2021-12-01,00:24:20,237830.36227954456,596448.5750248162,53.348,6.631,0.7,Toornwerd,induced earthquake
2021-11-30,08:42:09,254477.91964445956,593536.8322318008,53.319,6.88,1.1,Appingedam,induced earthquake
2021-11-30,03:22:51,240396.2662035582,583247.0944993474,53.229,6.666,0.3,Groningen,induced earthquake
2021-11-28,10:05:20,245976.34152587777,591920.8735899806,53.306,6.752,0.6,Garrelsweer,induced earthquake
2021-11-24,15:11:12,249066.39588876284,590755.9360529335,53.295,6.798,0.5,Garrelsweer,induced earthquake
2021-11-17,18:25:28,245632.5603444856,592470.9618608749,53.311,6.747,0.9,Winneweer,induced earthquake
2021-11-16,04:38:04,245707.62226043027,592027.1045542737,53.307,6.748,0.2,Garrelsweer,induced earthquake
2021-11-16,02:57:44,245774.27457289252,592028.3651880558,53.307,6.749,0.3,Garrelsweer,induced earthquake
2021-11-16,01:34:16,245767.9581261893,592362.2027675959,53.31,6.749,0.6,Winneweer,induced earthquake
2021-11-16,00:46:48,245903.3620271302,592253.4474988949,53.309,6.751,3.2,Garrelsweer,induced earthquake
2021-11-15,12:41:52,247601.79459808205,590616.1340876211,53.294,6.776,0.6,Garrelsweer,induced earthquake
2021-11-15,01:22:05,241882.26038227984,597076.9207853888,53.353,6.692,0.9,Westeremden,induced earthquake
